26032026;575;A;SYP;0,0434;0,04734;110,5000;120,5000
26032026;585;A;SZL;0,3064;0,3071;17,0308;17,0692
26032026;603;A;LSL;0,3067;0,3068;17,0522;17,0551
26032026;608;A;TMT;1,5918;1,5968;3,2757;3,2857
26032026;622;A;MZN;0,08103;0,08269;63,2600;64,5500
26032026;625;A;ERN;0,3452;0,3487;15,0000;15,1500
26032026;630;A;NGN;0,003769;0,003775;1385,6500;1387,8500
26032026;635;A;AOA;0,005651;0,005735;912,1310;925,5310
26032026;640;A;TWD;0,1637;0,1639;31,9240;31,9540
26032026;642;A;TRY;0,1179;0,1179;44,3550;44,3650
26032026;660;A;PEN;1,5112;1,5118;3,4600;3,4610
26032026;665;A;BTN;0,05553;0,05554;94,1750;94,1900
26032026;670;A;MRO;0,01457;0,01469;356,0000;359,0000
26032026;671;A;MRU;0,1308;0,1313;39,8529;39,9725
26032026;680;B;TOP;2,1350;2,2660;0,4082;0,4332
26032026;685;A;MOP;0,6482;0,6490;8,0600;8,0690
26032026;706;A;ARS;0,003816;0,003821;1369,0000;1370,5000
26032026;715;A;CLP;0,005653;0,00566;924,1500;925,2600
26032026;720;A;COP;0,001418;0,00142;3684,1200;3687,5300
26032026;721;B;COU;0,5732;0,5733;0,1096;0,1096
26032026;725;A;CUP;0,2179;0,2180;24,0000;24,0000
26032026;730;A;DOP;0,08758;0,08815;59,3400;59,7200
26032026;735;A;PHP;0,0869;0,0870;60,1250;60,1830
26032026;741;A;MXN;0,2942;0,2943;17,7750;17,7790
26032026;745;A;UYU;0,1292;0,1293;40,4600;40,4900
26032026;755;B;BWP;0,3614;0,4033;0,0691;0,0771
26032026;760;A;MWK;0,002988;0,003046;1717,0200;1750,3200
26032026;766;A;ZMW;0,2775;0,2782;18,8000;18,8500
26032026;770;A;GTQ;0,6825;0,6844;7,6430;7,6630
26032026;775;A;MMK;0,002483;0,002498;2093,7000;2106,3000
26032026;778;B;PGK;1,1674;1,2564;0,2232;0,2402
